farmer.name,species,initial_height_cm,initial_rcd_mm,days_interval,m1_height_cm,m1_rcd_mm,m1_width_cm,m1_health_score,survival_status
c,1,39,7.5,124,9,8.1,21,2.5,alive
c,1,44,7.5,124,30,7.8,0,0.5,alive
c,13,55,7.5,124,42,7.4,8,1,alive
b,12,40,7.4,124,75,11.4,13,2,alive
b,1,43,7.3,124,49,7.9,8,1,alive
b,1,44,7.3,124,19.5,9.7,0,0.5,alive
b,1,60,7.3,124,65,8.4,0,0.5,alive
b,17,41,7.3,124,6,9.5,4,0.5,alive
c,4,48,7.3,124,47,7.4,10,1,alive
c,17,53,7.3,124,31,7.9,15,2.5,alive
a,17,36,7.1,124,68,10.1,36,2.5,alive
a,1,49,7,124,61,13.8,34,3,alive
a,1,58,7,124,61,10.5,31,2.5,alive
a,5,58,7,124,64,14.3,66,2,alive
b,7,56,7,124,148,16,79,2.5,alive
b,1,53,6.9,124,56,9.2,16,1.5,alive
b,1,55,6.9,124,7.5,8,0,0.5,alive
b,1,60,6.9,124,51,8.1,18.5,2,alive
b,10,47,6.9,124,29.5,7.4,0,0.5,alive
a,1,56,6.8,124,61,10.3,29,2,alive
a,1,57,6.8,124,7,7.7,0,0.5,alive
b,7,60,6.8,124,143,17.7,75,0.5,alive
b,13,52,6.8,124,62,10,27,2.5,alive
c,13,39,6.8,124,20,9.3,27,2.5,alive
c,17,34,6.8,124,24.5,8.2,13.5,3,alive
a,8,30,6.7,124,32,7.8,38,1.5,alive
b,17,51,6.7,124,68,8.7,40,2.5,alive
c,14,34,6.7,124,23.5,7.3,20,1.5,alive
a,10,34,6.6,124,38,10.7,22,1,alive
b,1,59,6.6,124,60,7.9,13,1.5,alive
b,13,46,6.6,124,18,5.9,12,1,alive
c,8,39,6.6,124,41,9.2,8,1.5,alive
c,10,43,6.6,124,7,6.6,17,1,alive
a,20,60,6.5,124,80,8.4,59,1.5,alive
b,1,60,6.5,124,0,0,0,0,dead
b,4,30,6.5,124,13,7.1,0,0.5,alive
b,8,49,6.5,124,52,7.6,31,2,alive
c,2,52,6.5,124,30.5,10.5,0,0.5,alive
c,13,53,6.5,124,62,10.6,28,2.5,alive
a,13,50,6.4,124,58,14,31,2.5,alive
a,20,35,6.4,124,81,8.7,56,2.5,alive
b,13,49,6.4,124,57,7.9,31,2.5,alive
c,19,58,6.4,124,36,9.6,10,1.5,alive
a,7,39,6.3,124,143,26.6,120,2.5,alive
a,12,60,6.3,124,61,7.3,22,1.5,alive
b,7,47,6.3,124,31,7,26,2,alive
b,8,40,6.3,124,40,7.6,0,0.5,alive
b,13,42,6.3,124,11,8.8,8,0.5,alive
c,13,37,6.3,124,37,8,30,2,alive
a,8,44,6.2,124,52,12.8,36,2.5,alive
a,13,50,6.2,124,61,15.1,46,2,alive
b,14,32,6.2,124,33.5,8.2,41,3,alive
c,13,52,6.2,124,65,8.6,32,2.5,alive
c,17,48,6.2,124,32,6.7,21,3,alive
a,7,54,6.1,124,83,26.8,89,3,alive
a,7,60,6.1,124,137,30.8,116,3,alive
a,13,40,6.1,124,62,10.5,35,2.5,alive
a,17,43,6.1,124,74,6.2,55,2.5,alive
a,19,55,6.1,124,53,8.9,47,2,alive
a,20,36,6.1,124,65,8.3,42,2.5,alive
b,6,57,6.1,124,31,6.8,0,0.5,alive
b,13,35,6.1,124,41,8.1,27,2.5,alive
c,1,59,6.1,124,13,8.2,0,0.5,alive
c,12,33,6.1,124,30,7.7,0,0.5,alive
c,13,50,6.1,124,30,10.6,24,2,alive
c,13,50,6.1,124,20,7.7,0,0.5,alive
c,17,37,6.1,124,22,11.3,23,1.5,alive
c,17,39,6.1,124,40,7.6,38,2,alive
a,2,39,6,124,44,13.1,46,2,alive
b,2,46,6,124,51,9,44,2,alive
b,2,60,6,124,20,7.8,0,0.5,alive
c,10,56,6,124,40,8.1,10,1.5,alive
c,17,55,6,124,73,12.2,29,3,alive
a,1,59,5.9,124,60,7.4,26,1.5,alive
a,1,60,5.9,124,69,11.1,27,2.5,alive
a,7,42,5.9,124,91,17.1,58,2.5,alive
a,8,36,5.9,124,50,13.3,58,2,alive
b,17,56,5.9,124,74.5,9.9,34,2.5,alive
c,19,46,5.9,124,41,6.2,17,1.5,alive
a,4,40,5.8,124,63,14.3,70,2.5,alive
a,12,43,5.8,124,38,4.8,12,1.5,alive
b,1,49,5.8,124,39,9.1,6,1,alive
b,4,33,5.8,124,42,9.6,22,2,alive
b,6,55,5.8,124,53,5.8,19,2,alive
b,10,50,5.8,124,50,5.7,16,2,alive
b,17,34,5.8,124,22,6,20,2,alive
c,1,43,5.8,124,0,0,0,0,dead
c,1,54,5.8,124,9,7.5,8,2,alive
c,1,54,5.8,124,25,8.2,10,1,alive
c,12,40,5.8,124,20,12.8,0,0.5,alive
c,13,37,5.8,124,42,8.9,27,2.5,alive
c,17,43,5.8,124,33,7.4,16,2.5,alive
a,7,46,5.7,124,98,21.9,35,2.5,alive
a,12,39,5.7,124,34,6.4,7,1.5,alive
a,13,48,5.7,124,50,8,6,1.5,alive
a,13,54,5.7,124,68,1.9,32,2,alive
a,20,43,5.7,124,78,9.4,59,2.5,alive
b,1,36,5.7,124,34,8.8,20,2.5,alive
b,2,44,5.7,124,47.5,11.4,36,2,alive
b,12,37,5.7,124,30,7.8,3,1,alive
c,12,55,5.7,124,33,7.3,0,0.5,alive
c,14,30,5.7,124,45.5,9.2,46,3,alive
c,17,34,5.7,124,44,12.6,24,2.5,alive
b,3,50,5.6,124,96,7.2,50,2,alive
b,8,31,5.6,124,34,6.6,40,1.5,alive
c,6,33,5.6,124,0,0,0,0,dead
c,8,37,5.6,124,30,6.9,25,2,alive
c,17,40,5.6,124,5.5,7.7,19,2,alive
a,8,32,5.5,124,21,8.2,39,2,alive
a,20,42,5.5,124,67,8.5,43,2,alive
c,8,39,5.5,124,26.5,6.1,12,1.5,alive
c,12,37,5.5,124,0,0,0,0,dead
a,13,44,5.4,124,65,10,41,2.5,alive
a,13,54,5.4,124,46,7.2,28,2.5,alive
a,17,40,5.4,124,68,9.3,35,2.5,alive
b,10,44,5.4,124,51,7,21,1.5,alive
b,12,37,5.4,124,38,6.3,22,2,alive
c,1,59,5.4,124,55,8,24,1.5,alive
c,7,46,5.4,124,96,14.1,100,3,alive
c,13,31,5.4,124,40,5.2,24,2,alive
c,17,47,5.4,124,48,9.8,38,2.5,alive
a,2,48,5.3,124,56,11.8,49,2.5,alive
a,8,30,5.3,124,0,0,0,0,dead
b,1,59,5.3,124,51,5.1,14,2.5,alive
b,19,56,5.3,124,54,6.9,26,1.5,alive
c,8,32,5.3,124,29,8.3,13,1.5,alive
c,20,39,5.3,124,39,6.7,22,2,alive
a,7,58,5.2,124,136,25.3,105,3,alive
a,8,38,5.2,124,24,6.1,30,2,alive
a,8,40,5.2,124,87,22.1,1,2.5,alive
b,8,45,5.2,124,53,8.5,9,1,alive
b,8,46,5.2,124,42,7.3,12,1.5,alive
b,12,33,5.2,124,12,5.1,0,0.5,alive
b,17,46,5.2,124,45,11.4,23,2.5,alive
c,12,52,5.2,124,37,5.9,4,1,alive
c,17,37,5.2,124,27,7.6,19,1,alive
a,2,59,5.1,124,62,8.7,45,1.5,alive
a,5,50,5.1,124,45,7.2,21,1.5,alive
a,8,30,5.1,124,14,6,26,2,alive
a,12,50,5.1,124,46,8.1,23,1.5,alive
a,13,54,5.1,124,74,10,57,2.5,alive
a,17,35,5.1,124,80,13.2,35,2,alive
a,20,30,5.1,124,48,6.5,24,2,alive
b,7,52,5.1,124,51,7.4,13,1.5,alive
b,7,55,5.1,124,81,11.6,47,2.5,alive
b,10,30,5.1,124,17,6.6,0,0.5,alive
c,13,32,5.1,124,53.5,7.8,36,2.5,alive
c,13,54,5.1,124,5,5.5,4,1.5,alive
c,14,30,5.1,124,29,9.3,35,2,alive
c,20,35,5.1,124,70,7.1,36,2.5,alive
a,1,33,5,124,33,9.4,23,2,alive
a,3,34,5,124,96,6.5,30,3,alive
a,10,44,5,124,60,8.3,45,2.5,alive
a,13,42,5,124,44,8.6,28,3,alive
a,19,37,5,124,14,4.9,11,2,alive
a,20,35,5,124,46,8.6,46,2.5,alive
b,7,51,5,124,43,9.8,0,0.5,alive
c,7,56,5,124,137,24.9,112,2.5,alive
c,17,34,5,124,34,7.8,35,2,alive
a,6,60,4.9,124,67,9.9,55,2.5,alive
a,10,36,4.9,124,27,5,33,2.5,alive
a,12,55,4.9,124,49,3.5,15,1.5,alive
b,1,42,4.9,124,44,8.4,16,1,alive
b,12,37,4.9,124,40,5.5,5,0.5,alive
b,12,50,4.9,124,37,8.3,0,0.5,alive
b,13,33,4.9,124,36,8.1,33,2.5,alive
c,6,53,4.9,124,0,0,0,0,dead
c,12,42,4.9,124,23,7.9,2,1,alive
c,17,34,4.9,124,68,6.6,22,2.5,alive
c,20,31,4.9,124,51,5.2,23,2.5,alive
c,20,38,4.9,124,30,4.6,23,2,alive
a,8,36,4.8,124,37,7.1,45,2,alive
a,13,46,4.8,124,60,9,32,2,alive
a,17,37,4.8,124,57,8.1,32,2.5,alive
b,7,48,4.8,124,54,5.2,20,2,alive
b,13,40,4.8,124,17,6.4,15,2,alive
b,20,35,4.8,124,46,4.9,16,2.5,alive
c,8,30,4.8,124,28,7.9,35,3,alive
c,12,50,4.8,124,49,8.2,4,1,alive
c,13,39,4.8,124,42,6.1,30,2.5,alive
c,19,40,4.8,124,33,6,24,1.5,alive
c,19,53,4.8,124,53,5.9,14,2.5,alive
a,6,60,4.7,124,65,8.5,28,3,alive
a,8,30,4.7,124,24,6.4,43,1.5,alive
b,6,52,4.7,124,44,6.7,0,0.5,alive
b,13,37,4.7,124,40,7.1,27,2,alive
b,20,34,4.7,124,11,4.9,0.5,2,alive
c,5,37,4.7,124,39,9.2,55,3,alive
c,12,44,4.7,124,43,7.7,13,2,alive
c,20,33,4.7,124,75,6,58,2.5,alive
c,20,33,4.7,124,35,6.4,28,3,alive
c,20,36,4.7,124,37,6,20,2,alive
a,1,31,4.6,124,39,8,18,2.5,alive
a,2,46,4.6,124,91,11.2,23,2,alive
a,2,53,4.6,124,25,11.2,52,2.5,alive
a,15,37,4.6,124,42,8.9,25,1.5,alive
b,7,45,4.6,124,25,4.6,9,1.5,alive
b,13,46,4.6,124,53,6.2,49,2.5,alive
b,19,51,4.6,124,51,4.6,15,1.5,alive
b,20,33,4.6,124,41,5.3,27,3,alive
c,7,45,4.6,124,28,7.6,0,0.5,alive
c,8,34,4.6,124,33.5,5.6,23,2,alive
c,12,43,4.6,124,30.5,8.4,24.5,1.5,alive
c,13,38,4.6,124,40,5.5,30,2.5,alive
c,17,43,4.6,124,77,5.5,44,3,alive
a,1,43,4.5,124,34,7.3,0,0.5,alive
a,2,40,4.5,124,51,13,63,2.5,alive
a,7,44,4.5,124,92,20.3,61,2.5,alive
a,13,45,4.5,124,55,10.6,37,2,alive
a,17,32,4.5,124,55,7.4,31,2.5,alive
a,20,31,4.5,124,49,6.9,32,2,alive
b,6,52,4.5,124,53,4.7,18,1,alive
b,7,44,4.5,124,73,6.3,28,2.5,alive
b,19,30,4.5,124,28,5.3,33,2.5,alive
b,19,48,4.5,124,48,4.7,32,2,alive
b,20,35,4.5,124,49,6.2,35,2.5,alive
c,10,48,4.5,124,40,7.8,32,2,alive
c,12,47,4.5,124,54,8.9,32,2,alive
a,2,51,4.4,124,56,10.3,46,2.5,alive
a,6,54,4.4,124,61,13.6,66,2.5,alive
a,13,32,4.4,124,47,7.6,25,2.5,alive
b,7,36,4.4,124,36,4.1,5,1,alive
b,9,34,4.4,124,44,5.5,27,2,alive
b,12,52,4.4,124,17,7,0,0.5,alive
c,12,42,4.4,124,18,5.3,0,0.5,alive
c,13,42,4.4,124,52,7.1,32,2.5,alive
c,13,47,4.4,124,52,9.6,25,2.5,alive
a,7,53,4.3,124,118,13.7,77,3,alive
a,10,33,4.3,124,34,4.6,33,2,alive
a,10,38,4.3,124,45,5.3,34,2.5,alive
a,14,30,4.3,124,33,5.1,20,2.5,alive
a,17,31,4.3,124,67,10.2,46,2,alive
a,17,34,4.3,124,70,12.3,49,2.5,alive
a,17,37,4.3,124,64,12.9,40,3,alive
a,20,33,4.3,124,48,6.5,35,2,alive
a,20,35,4.3,124,86,6.8,44,3,alive
b,3,40,4.3,124,65,4.6,67,2,alive
b,10,30,4.3,124,30,4.8,17,2,alive
b,10,47,4.3,124,16,5.1,0,0.5,alive
b,13,33,4.3,124,34,4.6,24,2.5,alive
b,19,32,4.3,124,12,2.4,7,2,alive
a,1,40,4.2,124,38,9.7,21,2,alive
a,2,43,4.2,124,41,13.4,64,2.5,alive
b,6,45,4.2,124,45,5.2,30,2,alive
b,7,36,4.2,124,20,4.6,0,0.5,alive
b,7,44,4.2,124,19,8.7,0,0.5,alive
b,8,33,4.2,124,28,4.7,0,0.5,alive
b,12,37,4.2,124,37,5,0,0.5,alive
b,12,52,4.2,124,31,7.4,0,0.5,alive
b,19,42,4.2,124,42,4.6,31,1.5,alive
c,6,30,4.2,124,15,5.2,5,1.5,alive
c,12,48,4.2,124,20.5,4.8,22.5,1.5,alive
c,20,32,4.2,124,45,7.2,43,2.5,alive
c,20,38,4.2,124,27,5.6,19,1,alive
a,3,56,4.1,124,77,7.3,90,1.5,alive
a,7,40,4.1,124,127,13.7,61,2.5,alive
a,12,33,4.1,124,23,3.5,16,1.5,alive
a,13,58,4.1,124,67,8.2,33,2.5,alive
a,19,46,4.1,124,44,6.5,36.5,2,alive
b,2,39,4.1,124,37,5.9,20,1.5,alive
b,2,52,4.1,124,57.5,7.8,10,2,alive
b,4,36,4.1,124,34,5.4,11,1,alive
b,12,49,4.1,124,30.5,3.7,0,0.5,alive
b,13,30,4.1,124,32,6.1,19,2.5,alive
b,13,36,4.1,124,45,4.5,21,2,alive
b,19,30,4.1,124,30,7.7,35,2,alive
c,3,55,4.1,124,47,4.1,23,2.5,alive
c,8,38,4.1,124,34,5.9,0,0.5,alive
c,17,35,4.1,124,77,7.1,39,2.5,alive
c,20,35,4.1,124,68,6.6,34,3,alive
a,2,37,4,124,39,5.1,36,2.5,alive
a,15,37,4,124,45,12.2,42,2.5,alive
a,19,38,4,124,37,5.1,27,2,alive
a,20,33,4,124,33,6.1,24,2,alive
a,20,35,4,124,66,7.6,63,2.5,alive
b,3,42,4,124,44.5,3.9,17,2,alive
b,9,30,4,124,23,5.9,23,2.5,alive
b,12,40,4,124,46,6.6,20,1.5,alive
b,12,46,4,124,38,6.4,4,1.5,alive
b,12,52,4,124,23,4,0,0.5,alive
b,17,33,4,124,7,4.3,0,0.5,alive
b,17,35,4,124,30,4.6,8,1,alive
b,19,41,4,124,37,5.8,36,1.5,alive
b,20,32,4,124,35.5,4.5,14,2,alive
c,8,34,4,124,11,4.6,10,1,alive
a,1,30,3.9,124,29,5.9,5,0.5,alive
a,3,53,3.9,124,16,4.2,39,2.5,alive
a,6,54,3.9,124,58,8.7,43,2,alive
a,9,40,3.9,124,64,8.6,35,2.5,alive
a,19,36,3.9,124,40,7.1,43,2,alive
a,20,32,3.9,124,36,5.3,24,2,alive
b,6,58,3.9,124,13,4.9,0,0.5,alive
b,10,37,3.9,124,34,3.4,25,2,alive
b,13,48,3.9,124,51,4.8,33,2,alive
c,7,38,3.9,124,78,10.5,50,3,alive
c,13,33,3.9,124,42,7.2,26,2.5,alive
c,19,33,3.9,124,12,4.6,15,3,alive
c,19,37,3.9,124,16,5.2,0,0.5,alive
a,2,30,3.8,124,39,7.3,53,2.5,alive
a,3,39,3.8,124,14,5,52,0.5,alive
a,6,53,3.8,124,12,5.4,16,3,alive
a,7,32,3.8,124,33,4.5,7,1.5,alive
a,7,40,3.8,124,137,14.7,63,2.5,alive
a,10,41,3.8,124,54,7,37,1.5,alive
a,20,32,3.8,124,27,3.8,27,1.5,alive
b,10,30,3.8,124,29,5.5,14,2,alive
c,3,40,3.8,124,54,6.2,47,2,alive
c,4,35,3.8,124,23,5.5,26,2,alive
c,7,40,3.8,124,62,7.3,37,3,alive
c,7,52,3.8,124,153,14.9,72,2.5,alive
c,8,41,3.8,124,39,5.2,0,0.5,alive
c,10,36,3.8,124,40,5.4,23,2,alive
c,13,50,3.8,124,58,5.8,40,2.5,alive
a,1,32,3.7,124,33,5.1,17,1.5,alive
a,10,34,3.7,124,41,4.6,25,2,alive
a,12,45,3.7,124,46,5.6,9,1.5,alive
b,6,42,3.7,124,42,4,12,2.5,alive
b,10,48,3.7,124,41,5.2,0,0.5,alive
b,12,48,3.7,124,38,8.3,0,0.5,alive
b,12,58,3.7,124,30.5,5.3,0,0.5,alive
b,13,30,3.7,124,16,5.7,0,0.5,alive
b,15,30,3.7,124,28,4.5,12,1,alive
b,19,35,3.7,124,23,4,0,0.5,alive
c,7,36,3.7,124,49.5,9.4,37,3,alive
c,8,30,3.7,124,29,5.1,15,2,alive
c,19,32,3.7,124,26,6.7,0,0.5,alive
a,12,34,3.6,124,15,4.1,9,1,alive
a,20,40,3.6,124,35.5,7.2,22,2.5,alive
b,5,30,3.6,124,31,3.4,21,2,alive
b,6,40,3.6,124,42,3.2,0,0.5,alive
b,6,51,3.6,124,48,4.2,12,1.5,alive
b,13,37,3.6,124,16,5,0,0.5,alive
b,17,34,3.6,124,14,3.9,0,0.5,alive
c,4,30,3.6,124,48,6,26,2.5,alive
c,6,34,3.6,124,0,0,0,0,dead
c,7,44,3.6,124,29,5.4,15,2,alive
c,8,41,3.6,124,27.5,7.5,0,0.5,alive
c,9,34,3.6,124,40,7.8,41,2.5,alive
c,19,36,3.6,124,35.5,4.7,45,2.5,alive
a,2,38,3.5,124,15,6.2,33,2,alive
a,3,58,3.5,124,69,8.4,43,2,alive
a,6,56,3.5,124,61,8,43,2.5,alive
a,9,39,3.5,124,0,0,0,0,dead
a,10,35,3.5,124,6,4.9,0,0.5,alive
a,19,33,3.5,124,10,2.9,6,1.5,alive
b,2,42,3.5,124,29,4.5,23,2,alive
b,6,43,3.5,124,42,4.2,16,2.5,alive
b,6,52,3.5,124,11.5,3.6,0,0.5,alive
b,9,33,3.5,124,0,0,0,0,dead
b,10,38,3.5,124,38,6,14,1.5,alive
b,15,32,3.5,124,30,4.3,18,2.5,alive
c,3,40,3.5,124,48,4.9,35,1.5,alive
c,10,30,3.5,124,0,0,0,0,dead
c,12,34,3.5,124,30,5.2,0,0.5,alive
a,3,42,3.4,124,40,4.8,51,0.5,alive
a,6,54,3.4,124,58,5.2,31,2,alive
a,6,54,3.4,124,64,12.4,46,3,alive
a,7,49,3.4,124,100,9.7,39,2,alive
a,7,51,3.4,124,55,5.4,31,3,alive
a,7,57,3.4,124,135,13.1,49,3,alive
a,8,32,3.4,124,38,7.3,45,2,alive
b,3,43,3.4,124,55,4.1,27,1,alive
b,7,43,3.4,124,115,10.2,39,3,alive
b,10,31,3.4,124,27,4.2,21,2.5,alive
b,19,34,3.4,124,31,4.2,23,2,alive
c,6,38,3.4,124,0,0,0,0,dead
c,7,59,3.4,124,110,22.3,118,3,alive
c,9,43,3.4,124,0,0,0,0,dead
c,10,30,3.4,124,11,3.7,0,0.5,alive
c,13,36,3.4,124,33,1.4,18,3,alive
c,17,31,3.4,124,61,5.3,30,3,alive
a,2,51,3.3,124,70.5,7.1,25,2,alive
a,6,54,3.3,124,55,7.6,40,2,alive
a,10,36,3.3,124,12,7,0,0.5,alive
a,17,30,3.3,124,59,7.1,26,2.5,alive
a,19,38,3.3,124,38,5.9,27,2.5,alive
a,20,33,3.3,124,64,7.5,45,2,alive
b,3,42,3.3,124,44,5.1,34,1.5,alive
b,6,45,3.3,124,8,4.6,0,0.5,alive
b,8,33,3.3,124,0,0,0,0,dead
b,9,30,3.3,124,29,4.5,19,2,alive
b,9,34,3.3,124,30.5,3.3,11,2.5,alive
b,15,30,3.3,124,30,3.5,17.5,2,alive
b,17,30,3.3,124,28.5,3.9,26,2,alive
c,3,42,3.3,124,27,4.9,36,2,alive
c,10,33,3.3,124,37,5.1,33,2.5,alive
c,11,36,3.3,124,43,4,39,2,alive
c,12,54,3.3,124,30,4.3,4.5,1,alive
c,13,34,3.3,124,40,5.7,25,2.5,alive
c,19,35,3.3,124,28,4.7,24.5,2.5,alive
a,9,37,3.2,124,61,10.4,45,3,alive
a,19,35,3.2,124,33,6.1,24,2,alive
b,4,30,3.2,124,29,3.3,8,2.5,alive
b,6,51,3.2,124,54.5,3,28,2,alive
b,9,30,3.2,124,41,4.7,26,2.5,alive
b,9,36,3.2,124,33,4.4,25,2,alive
c,4,31,3.2,124,32,5.2,16,1.5,alive
c,7,40,3.2,124,87,5.8,31,2.5,alive
c,7,45,3.2,124,82,15.2,78,3,alive
c,8,33,3.2,124,41,4.6,0,0.5,alive
c,8,39,3.2,124,21,3.4,0,0.5,alive
c,15,30,3.2,124,37,5.6,25,2.5,alive
a,3,53,3.1,124,78,5.2,15,2,alive
a,3,56,3.1,124,116,13,78,2.5,alive
a,9,32,3.1,124,59.5,7.7,30.5,2.5,alive
a,9,40,3.1,124,68,9.1,59,2.5,alive
a,11,30,3.1,124,45,7,53,2.5,alive
a,12,35,3.1,124,31,4.8,15,1.5,alive
a,13,32,3.1,124,35,5.8,23,2,alive
a,17,32,3.1,124,56,8,34,2.5,alive
b,9,32,3.1,124,41,4.9,23,2.5,alive
c,7,56,3.1,124,91,11,62,3,alive
c,11,52,3.1,124,53,6,57,2,alive
a,3,55,3,124,39,7.2,66,0.5,alive
a,6,47,3,124,56,8.9,63,2.5,alive
a,15,31,3,124,33.5,10.5,39,3,alive
a,19,45,3,124,12,3.6,9,2,alive
b,6,37,3,124,27,2.6,0,0.5,alive
b,6,47,3,124,47,6.4,16,1.5,alive
b,7,49,3,124,49,6.6,0,0.5,alive
c,3,51,3,124,47,5,25,2,alive
c,7,53,3,124,112,12.8,75,2.5,alive
c,12,34,3,124,32,3,9,2,alive
c,17,30,3,124,41,5.3,32,2.5,alive
a,2,33,2.9,124,50,11.4,65,2,alive
a,6,52,2.9,124,53,7.2,44,2,alive
a,8,30,2.9,124,33,7.4,33,2,alive
b,3,55,2.9,124,48.5,3.1,30,1.5,alive
b,6,59,2.9,124,56,4.5,32,2.5,alive
b,9,34,2.9,124,26,4.2,7,1.5,alive
b,9,34,2.9,124,41,4.7,20,2.5,alive
b,9,34,2.9,124,25,3.7,18,2,alive
b,10,34,2.9,124,32,3.1,17,1.5,alive
b,17,30,2.9,124,32,6.4,17,2.5,alive
c,3,52,2.9,124,42,3.1,60,2.5,alive
c,3,57,2.9,124,24,3.5,22,3,alive
c,4,30,2.9,124,28,5.6,27,3,alive
a,9,30,2.8,124,21,3.6,17,2.5,alive
a,9,31,2.8,124,49,4.3,28,2.5,alive
a,10,34,2.8,124,43,5.8,29,2,alive
b,3,47,2.8,124,20,3.4,9,1.5,alive
b,12,41,2.8,124,39,5.4,3,1,alive
b,13,30,2.8,124,32,3.4,20,2,alive
b,17,30,2.8,124,47,4.8,27,2.5,alive
b,19,31,2.8,124,0,0,0,0,dead
c,1,54,2.8,124,0,0,0,0,dead
c,3,50,2.8,124,33,4.7,50,1.5,alive
c,4,33,2.8,124,59,10.4,45,2.5,alive
c,6,53,2.8,124,26,6.4,16,2,alive
c,9,31,2.8,124,63,5,39,3,alive
c,10,30,2.8,124,45,4.9,44,3,alive
c,11,30,2.8,124,52,6.4,56,2.5,alive
c,12,35,2.8,124,35,3.1,10,1.5,alive
a,3,37,2.7,124,60,6.3,44,2,alive
a,7,33,2.7,124,126,18.6,91,2.5,alive
a,7,50,2.7,124,54,9,29,2.5,alive
a,9,35,2.7,124,37,5.8,23,2.5,alive
b,2,30,2.7,124,30,4.1,8,1.5,alive
b,6,54,2.7,124,52,4.7,48,2,alive
b,9,30,2.7,124,29,4,19,1.5,alive
c,4,32,2.7,124,64,10.1,40,2,alive
c,6,55,2.7,124,45,5.5,80,2.5,alive
c,9,43,2.7,124,50,4.6,46,2,alive
c,13,38,2.7,124,44,5.3,37,3,alive
c,19,32,2.7,124,23,4.3,0,0.5,alive
a,2,38,2.6,124,12,5.6,20,3,alive
a,3,46,2.6,124,69,6.5,40,2.5,alive
a,6,50,2.6,124,21,3.3,28,3,alive
a,9,33,2.6,124,67,8.2,35,3,alive
a,9,35,2.6,124,66,12.5,59,3,alive
a,15,37,2.6,124,53,8.8,55,2.5,alive
b,3,50,2.6,124,44,4.4,31,2,alive
b,9,30,2.6,124,36,3,26,2,alive
b,9,30,2.6,124,40,3.7,30,2,alive
b,18,35,2.6,124,15,6.9,13,2,alive
c,3,47,2.6,124,22,1.6,10,2,alive
c,9,31,2.6,124,56,4.3,30,2.5,alive
c,10,31,2.6,124,32,3.8,25,3,alive
c,10,33,2.6,124,28,3.8,22,2.5,alive
c,12,32,2.6,124,23,5.2,0,0.5,alive
a,3,36,2.5,124,66,6.5,59,2,alive
a,13,33,2.5,124,32,4.9,32,2.5,alive
a,19,30,2.5,124,15,2.6,11,1.5,alive
b,9,31,2.5,124,31.5,3.3,25,2,alive
c,3,44,2.5,124,32,3.1,26,1.5,alive
c,3,47,2.5,124,55,5.3,38,2.5,alive
c,3,49,2.5,124,42,1,36,2,alive
c,3,49,2.5,124,16,3.1,11,2,alive
c,3,52,2.5,124,34,3.8,30,2.5,alive
c,6,49,2.5,124,40.5,4.4,0,0.5,alive
c,9,30,2.5,124,22,4.8,0,0.5,alive
